#,page,category,english_source,translation_zh-Hans,APPROVED (y/n),CORRECTION (write the corrected text here),reviewer_notes,key
1,calculators.2012-impairment-guidelines-point-system,citation,2012 Impairment Guidelines point system (§S11.4–S11.7) for cervical and lumbar nerve root SLU. The IME-friendly chart with citations on every result.,针对颈椎和腰椎神经根 SLU 的 2012 年损伤指南评分系统（§S11.4–S11.7）。适合 IME 使用的图表，每项结果均附带引用依据。,,,,calculators.2012-impairment-guidelines-point-system
68,pricing,deadline,🎯Priority supportResponse within 1 business day,🎯优先支持1 个工作日内回复,,,,pricing.priority-support-response-within-1
69,settlement-calculator,citation,"Choose the injured body part from the WCL §15(3) schedule — arm, leg, hand, foot, finger, toe, eye, or ear.",从 WCL §15(3) 表中选择受伤的身体部位 — 手臂、腿、手、脚、手指、脚趾、眼或耳。,,,,settlement-calculator.choose-the-injured-body-part
70,settlement-calculator,citation,Compare your SLU award estimate against a potential Section 32 settlement to understand which path may be right for your situation.,将您的 SLU 赔偿金估算与潜在的 Section 32 和解进行比较，了解哪条路径可能更适合您的情况。,,,,settlement-calculator.compare-your-slu-award-estimate
71,settlement-calculator,citation,"Different body parts have different week schedules under WCL §15(3). An arm loss is worth more weeks than a finger loss. Non-scheduled injuries (back, neck) are evaluated differently and may support higher lump sums.",不同身体部位在 WCL §15(3) 下对应不同的周数表。手臂丧失对应的周数比手指丧失更多。非表定伤害（背部、颈部）的评估方式不同，可能支持更高的一次性总额。,,,,settlement-calculator.different-body-parts-have-different
72,settlement-calculator,citation,Estimate the value of your NYS workers' compensation settlement. Calculate Schedule Loss of Use (SLU) awards by body part under WCL §15(3) and explore whether a Section 32 settlement makes sense for your case.,估算您纽约州工伤赔偿和解的价值。依据 WCL §15(3) 按身体部位计算肢体功能丧失赔偿（SLU），并探讨 Section 32 和解是否适合您的案件。,,,,settlement-calculator.estimate-the-value-of-your
73,settlement-calculator,obligation eligibility waiver citation,"A Section 32 agreement is a voluntary settlement under Workers' Compensation Law §32 that allows the claimant and carrier to resolve the entire case with a lump-sum payment. Once approved by the Workers' Compensation Board, it closes the case permanently — including future medical benefits unless specifically excluded. Both parties must consent, and the Board reviews the agreement to ensure it is in the claimant's best interest.",Section 32 协议是依据《工伤赔偿法》§32 达成的自愿和解，允许索赔人和保险公司通过一次性付款解决整个案件。一经工伤赔偿委员会（Workers' Compensation Board）批准，该协议将永久结案 — 除非明确排除，否则也包括未来的医疗赔偿。双方均须同意，委员会将审查该协议以确保其符合索赔人的最佳利益。,,,,settlement-calculator.jsonld.a-section-32-agreement-is
74,settlement-calculator,citation,"Average workers' comp settlements in New York vary widely depending on the severity of the injury, the body part affected, and whether the claim involves Schedule Loss of Use or a classification injury. SLU settlements for a single extremity typically range from $10,000 to $150,000+ depending on the percentage of loss and the compensation rate at the time of injury. Section 32 settlements can be substantially higher or lower depending on negotiation and medical permanency findings. An experienced attorney can evaluate comparable cases to estimate your settlement value.","纽约州工伤赔偿的平均和解金额差异很大，取决于伤害的严重程度、受影响的身体部位，以及索赔涉及的是肢体功能丧失赔偿还是分类伤害。单一肢体的 SLU 和解通常在 $10,000 到 $150,000+ 之间，具体取决于丧失百分比和受伤时的赔偿费率。Section 32 和解可能因谈判和医疗永久性认定而大幅高于或低于此范围。经验丰富的律师可以评估可比案件，以估算您的和解价值。",,,,settlement-calculator.jsonld.average-workers-comp-settlements-in
75,settlement-calculator,waiver citation,"In New York, workers' compensation settlements are calculated based on the type of case. For Schedule Loss of Use (SLU) awards under WCL §15(3), the value equals the percentage of loss times the number of weeks assigned to that body part, multiplied by the claimant's compensation rate (2/3 of average weekly wage, capped at the statutory maximum). Section 32 settlements involve a lump-sum payment that closes the case entirely and are negotiated based on the present value of future benefits.",在纽约州，工伤赔偿和解根据案件类型进行计算。对于依据 WCL §15(3) 的肢体功能丧失赔偿（SLU），价值等于丧失百分比乘以该身体部位对应的周数，再乘以索赔人的赔偿费率（平均周工资的 2/3，并以法定最高额为上限）。Section 32 和解涉及一次性总额付款，用以彻底结案，其金额根据未来赔偿金的现值进行谈判确定。,,,,settlement-calculator.jsonld.in-new-york-workers-compensation
76,settlement-calculator,citation,"The timeline for a workers' comp settlement in New York depends on the case type. SLU awards are typically determined 1-3 years post-injury following maximum medical improvement (MMI). Section 32 settlements can take 6 months to several years to negotiate, depending on the complexity of the case, the strength of medical evidence, and the parties' positions. Once the settlement is signed and submitted to the Workers' Compensation Board, approval typically takes 1-2 weeks.",纽约州工伤赔偿和解的时间线取决于案件类型。SLU 赔偿金通常在受伤后 1 至 3 年内、达到医疗改善最大化（Maximum Medical Improvement，MMI）后确定。Section 32 和解的谈判可能需要 6 个月到数年不等，具体取决于案件的复杂程度、医疗证据的充分性以及各方的立场。一旦和解协议签署并提交给工伤赔偿委员会（Workers' Compensation Board），批准通常需要 1 至 2 周。,,,,settlement-calculator.jsonld.the-timeline-for-a-workers
77,settlement-calculator,citation,"The value of a NYS workers' compensation case depends on your average weekly wage, the body parts injured, the percentage of permanent impairment, your date of injury (which determines the maximum rate), and whether you have a Schedule Loss of Use (extremity) or classification (non-schedule) case. Use our free calculator to estimate SLU values, or consult with an attorney for a comprehensive case valuation including Section 32 settlement potential.",纽约州工伤赔偿案件的价值取决于您的平均周工资、受伤的身体部位、永久性损伤的百分比、您的受伤日期（决定最高费率），以及您的案件属于肢体功能丧失赔偿（肢体）还是分类（非表定）。使用我们的免费计算器估算 SLU 价值，或咨询律师以获得包括 Section 32 和解可能性在内的全面案件估值。,,,,settlement-calculator.jsonld.the-value-of-a-nys
78,settlement-calculator,citation,What is a Section 32 agreement in NYS workers' compensation?,在纽约州工伤赔偿中，什么是 Section 32 协议？,,,,settlement-calculator.jsonld.what-is-a-section-32
79,settlement-calculator,obligation,Must be approved by the Workers' Compensation Board,须经工伤赔偿委员会（Workers' Compensation Board）批准,,,,settlement-calculator.must-be-approved-by-the
80,settlement-calculator,citation,SLU Award (§15(3)),SLU 赔偿金（§15(3)）,,,,settlement-calculator.slu-award-15-3
81,settlement-calculator,citation,"The extent of future medical care needed affects Section 32 settlement negotiations. More ongoing treatment needs typically increase settlement value. Future surgery, therapy, or specialist care all factor into negotiation.",未来所需医疗护理的程度会影响 Section 32 和解谈判。持续治疗需求越多，通常会提高和解价值。未来的手术、治疗或专科护理都会纳入谈判考量。,,,,settlement-calculator.the-extent-of-future-medical
82,settlement-calculator,citation,"The value of a NYS workers' compensation case depends on your average weekly wage, the body parts injured, the percentage of permanent impairment, your date of injury (which determines the maximum rate), and whether you have a Schedule Loss of Use (extremity) or classification (non-schedule) case. Use our free calculator above to estimate SLU values, or consult with an attorney for a comprehensive case valuation including Section 32 settlement potential.",纽约州工伤赔偿案件的价值取决于您的平均周工资、受伤的身体部位、永久性损伤的百分比、您的受伤日期（决定最高费率），以及您的案件属于肢体功能丧失赔偿（肢体）还是分类（非表定）。使用上方的免费计算器估算 SLU 价值，或咨询律师以获得包括 Section 32 和解可能性在内的全面案件估值。,,,,settlement-calculator.the-value-of-a-nys
83,settlement-calculator,eligibility waiver,Typically closes medical benefits (unless carved out),通常会关闭医疗赔偿（除非另有排除）,,,,settlement-calculator.typically-closes-medical-benefits-unless
84,settlement-calculator,citation,What is a Section 32 agreement?,什么是 Section 32 协议？,,,,settlement-calculator.what-is-a-section-32
85,settlement-calculator,citation,"Younger claimants with limited work capacity may receive higher settlements because they have longer earning potential ahead. Age, residual functional capacity, and vocational prospects all influence Section 32 value significantly.",工作能力受限的年轻索赔人可能获得更高的和解金，因为他们未来的收入潜力更长。年龄、剩余功能能力和职业前景都会显著影响 Section 32 的价值。,,,,settlement-calculator.younger-claimants-with-limited-work
86,settlement-calculator,citation,Your date of injury determines which compensation rate applies. Older injuries use lower rates; newer injuries use higher current rates. This significantly impacts both SLU awards and Section 32 settlement value.,您的受伤日期决定适用哪种赔偿费率。较早的伤害使用较低的费率；较新的伤害使用较高的当前费率。这对 SLU 赔偿金和 Section 32 和解价值都有重大影响。,,,,settlement-calculator.your-date-of-injury-determines
87,tools.claim-filing,filing citation,"A step-by-step wizard that walks you through the WCB Form C-3 — the form that opens your New York workers' compensation case — in plain English, field by field. Answer simple questions and we build your signed, filing-ready PDF.",分步向导，用简明语言逐项引导您填写 WCB C-3 表格 — 这是开启您纽约州工伤赔偿案件的表格。回答简单的问题，我们将为您生成已签署、可直接提交的 PDF。,,,,tools.claim-filing.a-step-by-step-wizard
88,tools.claim-filing,filing citation,"Clear, current guidance on exactly how and where to file your completed C-3 with the WCB.",关于如何以及在哪里向 WCB 提交已完成的 C-3 表格的清晰、最新指引。,,,,tools.claim-filing.clear-current-guidance-on-exactly
89,tools.claim-filing,deadline filing eligibility,"Disclaimer. This tool is provided for informational purposes only and does not constitute legal advice. The Comp Desk is a software platform, not a law firm, and using the Claim Filing Wizard does not create an attorney-client relationship. Filing deadlines and requirements under New York Workers' Compensation Law vary by situation. For guidance on your specific claim, consult a qualified workers' compensation attorney.",免责声明。本工具仅供参考，不构成法律建议。The Comp Desk 是一个软件平台，不是律师事务所，使用索赔提交向导不会建立委托关系。《纽约州工伤赔偿法》下的提交截止日期和要求因具体情况而异。如需针对您具体索赔的指导，请咨询合格的工伤赔偿律师。,,,,tools.claim-filing.disclaimer-this-tool-is-provided
90,tools.claim-filing,citation,"Important: The Comp Desk is a software platform, not a law firm. This wizard helps you complete and understand the C-3 — it does not give legal advice or file on your behalf.",重要提示：The Comp Desk 是一个软件平台，不是律师事务所。本向导帮助您完成并理解 C-3 表格 — 不提供法律建议，也不代您提交。,,,,tools.claim-filing.important-the-comp-desk-is
91,tools.claim-filing,citation,Plain-English questions map to every section of the official WCB Form C-3 — no legalese to decode.,简明语言的问题对应官方 WCB C-3 表格的每个部分 — 无需破解任何法律术语。,,,,tools.claim-filing.plain-english-questions-map-to
92,tools.claim-filing,deadline citation,"The C-3 — Employee Claim is what actually opens your case with the New York Workers' Compensation Board. Until it's filed, the Board has no record of your claim. In most cases you have two years from the date of injury (or from when you knew the injury was work-related) to file — and incomplete or inconsistent answers can slow your claim down or invite a dispute.",C-3 — 雇员索赔是真正开启您在纽约州工伤赔偿委员会（Workers' Compensation Board）案件的表格。在提交之前，委员会没有您索赔的任何记录。在大多数情况下，您有自受伤之日起两年（或自您得知伤害与工作相关之日起两年）的时间提交 — 不完整或前后矛盾的回答可能会拖慢您的索赔进度，或引发争议。,,,,tools.claim-filing.the-c-3-employee-claim
93,tools.claim-filing,citation,The C-3 wizard is one piece of the puzzle.,C-3 向导只是拼图的一部分。,,,,tools.claim-filing.the-c-3-wizard-is
94,tools.find-doctor,citation,"All five — Manhattan, Brooklyn, Queens, the Bronx, and Staten Island. Pan and zoom are restricted to this region. Outside NYC? Use the NYS WCB provider search.",全部五个 — 曼哈顿、布鲁克林、皇后区、布朗克斯和史泰登岛。平移和缩放仅限于该区域。在纽约市以外？请使用纽约州 WCB 医疗提供者搜索。,,,,tools.find-doctor.all-five-manhattan-brooklyn-queens
95,tools.find-doctor,obligation eligibility,"Currently, yes. Apart from limited exceptions like emergency care, a provider who treats an injured worker in New York generally must be authorized by the Workers' Compensation Board. Governor Hochul's 2026 ""Universal Authorization"" proposal would remove that requirement for any eligible licensed provider in good standing, but it is not yet law — if enacted, it would take effect January 1, 2028.","目前是的。除紧急护理等有限例外情况外，在纽约州治疗受伤工人的医疗提供者通常必须获得工伤赔偿委员会（Workers' Compensation Board）的授权。霍楚州长 2026 年提出的""通用授权""提案将为任何符合条件、信誉良好的持牌医疗提供者取消这一要求，但该提案尚未成为法律 — 如获通过，将于 2028 年 1 月 1 日生效。",,,,tools.find-doctor.currently-yes-apart-from-limited
96,tools.find-doctor,citation,Does my doctor need to be WCB-authorized?,我的医生需要获得 WCB 授权吗？,,,,tools.find-doctor.does-my-doctor-need-to
97,tools.find-doctor,obligation citation,"Generally yes. For non-emergency treatment, you have the right to select your own treating physician, who currently must be WCB-authorized. If your employer is part of a Preferred Provider Organization (PPO), you may be required to see a PPO provider for the first 30 days. A WC attorney can confirm what applies in your case.",一般可以。对于非紧急治疗，您有权选择自己的主治医生，该医生目前必须获得 WCB 授权。如果您的雇主参与了优选医疗机构组织（PPO），您可能需要在最初 30 天内接受 PPO 医疗提供者的治疗。工伤赔偿律师可以为您确认适用于您案件的具体规定。,,,,tools.find-doctor.generally-yes-for-non-emergency
98,tools.find-doctor,eligibility citation,"Gov. Hochul's 2026 State of the State proposal (re-proposed after 2025) would let any eligible licensed provider in good standing treat workers'-compensation patients without separate WCB authorization. It is not yet law if enacted, it would take effect January 1, 2028. Until then, this map highlights providers experienced with WC cases. Read the WCB proposal",霍楚州长在2026 年州情咨文中提出的提案（继 2025 年后再次提出）将允许任何符合条件、信誉良好的持牌医疗提供者无需单独的 WCB 授权即可治疗工伤赔偿患者。该提案尚未成为法律 如获通过，将于2028 年 1 月 1 日生效。在此之前，本地图重点展示有工伤赔偿案件经验的医疗提供者。阅读 WCB 提案,,,,tools.find-doctor.gov-hochul-s-2026-state
99,tools.find-doctor,obligation eligibility,"Currently, yes. Apart from limited exceptions such as emergency care, a provider who treats an injured worker in New York generally must be authorized by the Workers' Compensation Board. Governor Hochul's 2026 'Universal Authorization' proposal would remove this requirement and allow any eligible licensed provider in good standing to treat workers' compensation patients, but it is not yet law; if enacted, it would take effect January 1, 2028. This directory focuses on providers experienced with workers' comp cases.","目前是的。除紧急护理等有限例外情况外，在纽约州治疗受伤工人的医疗提供者通常必须获得工伤赔偿委员会（Workers' Compensation Board）的授权。霍楚州长 2026 年提出的""通用授权""（Universal Authorization）提案将取消这一要求，允许任何符合条件、信誉良好的持牌医疗提供者治疗工伤赔偿患者，但该提案尚未成为法律；如获通过，将于 2028 年 1 月 1 日生效。本名录目前聚焦于有工伤赔偿案件经验的医疗提供者。",,,,tools.find-doctor.jsonld.currently-yes-apart-from-limited
100,tools.find-doctor,citation,Does my doctor need to be WCB-authorized to treat my workers' comp injury in New York?,在纽约州，我的医生需要获得 WCB 授权才能治疗我的工伤吗？,,,,tools.find-doctor.jsonld.does-my-doctor-need-to
101,tools.find-doctor,obligation citation,"Generally yes. For non-emergency treatment, you have the right to select your own treating physician, who currently must be WCB-authorized. For emergencies, you may be seen by whichever provider treats you. If your employer is part of a Preferred Provider Organization (PPO), you may be required to see a PPO provider for the first 30 days. Consult a workers' compensation attorney for case-specific guidance.",一般可以。对于非紧急治疗，您有权选择自己的主治医生，该医生目前必须获得 WCB 授权。对于紧急情况，您可以由当时接诊的任何医疗提供者救治。如果您的雇主参与了优选医疗机构组织（Preferred Provider Organization，PPO），您可能需要在最初 30 天内接受 PPO 医疗提供者的治疗。请咨询工伤赔偿律师获取针对您案件的具体指导。,,,,tools.find-doctor.jsonld.generally-yes-for-non-emergency
102,tools.find-doctor,citation,"Listed providers either (a) self-identify as accepting workers'-comp patients and have a history of WC billing under the WCB authorization regime, or (b) have been recommended by attorneys actively practicing WC in New York. We do not accept payment for placement.",被列入名录的医疗提供者要么（a）自我声明接受工伤赔偿患者，并在 WCB 授权体系下有工伤赔偿计费记录，要么（b）由在纽约州积极执业的工伤赔偿律师推荐。我们不接受任何列入名录的付费。,,,,tools.find-doctor.listed-providers-either-a-self
103,tools.find-doctor,citation,"Tap your injury to pull every WCB-authorized provider for it — the full Workers' Compensation Board list, narrowed to your area. Use ""Use my location"" or pick a borough first to sort by distance.","点击您的伤情，即可获取所有相关的 WCB 授权医疗提供者 — 工伤赔偿委员会（Workers' Compensation Board）的完整名单，缩小至您所在的区域。请先使用""使用我的位置""或选择一个行政区，以按距离排序。",,,,tools.find-doctor.tap-your-injury-to-pull
104,tools.ime-reminders,eligibility,"Disclaimer. This tool is provided for informational purposes only and does not constitute legal or medical advice. IME Reminders helps you stay organized and prepared, but cannot guarantee any outcome in your workers' compensation case. The results of your Independent Medical Examination are determined by the examining doctor's findings and the Workers' Compensation Board's evaluation. For guidance on your specific situation, consult a qualified workers' compensation attorney.",免责声明。本工具仅供参考，不构成法律或医疗建议。IME Reminders 帮助您保持条理、做好准备，但无法保证您工伤赔偿案件的任何结果。您独立医学鉴定的结果由检查医生的结论和工伤赔偿委员会（Workers' Compensation Board）的评估决定。如需针对您具体情况的指导，请咨询合格的工伤赔偿律师。,,,,tools.ime-reminders.disclaimer-this-tool-is-provided
105,tools.ime-reminders,filing,"Missing an IME without a valid medical reason can have serious consequences. Your benefits may be suspended, your case may be delayed, or a judge may decide issues based largely on the IME doctor's findings. Always notify the carrier and your attorney immediately if you cannot attend, and provide documentation if possible.",在没有正当医疗理由的情况下错过 IME，可能带来严重后果。您的赔偿金可能被暂停，案件可能被延误，或法官可能主要依据 IME 医生的结论来裁决相关问题。如果您无法出席，请务必立即通知保险公司和您的律师，并在可能的情况下提供相关证明。,,,,tools.ime-reminders.jsonld.missing-an-ime-without-a
106,tools.ime-reminders,filing,"Missing an IME without a valid reason can have serious consequences — your benefits may be suspended, your case may be delayed, or a judge may decide issues based largely on the IME doctor's findings. Always notify the carrier and your attorney immediately if you cannot attend, and provide documentation when possible.",在没有正当理由的情况下错过 IME，可能带来严重后果 — 您的赔偿金可能被暂停，案件可能被延误，或法官可能主要依据 IME 医生的结论来裁决相关问题。如果您无法出席，请务必立即通知保险公司和您的律师，并在可能的情况下提供相关证明。,,,,tools.ime-reminders.missing-an-ime-without-a
107,tools.learning,eligibility,"Disclaimer: This educational content is provided for informational purposes only and does not constitute legal or medical advice. For specific guidance regarding your individual case, please consult with a qualified attorney or medical professional.",免责声明：本教育内容仅供参考，不构成法律或医疗建议。如需针对您个人案件的具体指导，请咨询合格的律师或医疗专业人士。,,,,tools.learning.disclaimer-this-educational-content-is
108,tools.medical-travel,eligibility citation,"Disclaimer. This tool is provided for informational purposes only and does not constitute legal advice. The Medical Travel tracker helps you organize your expenses and prepare the C-257, but cannot guarantee that any expense will be reimbursed. Reimbursement is determined by the insurance carrier and the Workers' Compensation Board. Keep your original receipts, and for guidance on your specific situation consult a qualified workers' compensation attorney.",免责声明。本工具仅供参考，不构成法律建议。医疗与交通追踪器帮助您整理费用并准备 C-257，但无法保证任何费用都会获得报销。报销结果由保险公司和工伤赔偿委员会（Workers' Compensation Board）决定。请保留您的原始收据，如需针对您具体情况的指导，请咨询合格的工伤赔偿律师。,,,,tools.medical-travel.disclaimer-this-tool-is-provided
109,tools.medical-travel,citation,"Enter your start and the provider — we measure the driving distance and apply the WCB rate for that date, round trip by default.",输入您的出发点和医疗提供者 — 我们会测量行车距离，并应用该日期对应的 WCB 费率，默认按往返计算。,,,,tools.medical-travel.enter-your-start-and-the
110,tools.medical-travel,eligibility,"Every trip to your doctor, the pharmacy, physical therapy, or an Independent Medical Examination has a cost — and in a New York workers' compensation case, you're entitled to be paid back for it. That includes subway and bus fares, taxis and rideshares, mileage in your own car, tolls, parking, prescriptions, and medical supplies.",每一次前往医生、药房、物理治疗或独立医学鉴定的行程都会产生费用 — 而在纽约州工伤赔偿案件中，您有权获得报销。这包括地铁和公交车费、出租车和共享出行费用、自驾里程、通行费、停车费、处方药和医疗用品。,,,,tools.medical-travel.every-trip-to-your-doctor
111,tools.medical-travel,citation,How do I send my C-257 to the Board?,我该如何将我的 C-257 发送给委员会？,,,,tools.medical-travel.how-do-i-send-my
112,tools.medical-travel,citation,"If it was necessary to get to or pay for your authorized treatment, it likely belongs on your C-257.",如果这是您前往或支付授权治疗所必需的费用，很可能应列入您的 C-257。,,,,tools.medical-travel.if-it-was-necessary-to
113,tools.medical-travel,citation,"Important: The Comp Desk is a software platform, not a law firm. The Medical Travel tracker helps you organize your expenses and prepare your C-257 — it does not give legal advice or guarantee reimbursement in your case.",重要提示：The Comp Desk 是一个软件平台，不是律师事务所。医疗与交通追踪器帮助您整理费用并准备您的 C-257 — 不提供法律建议，也不保证您案件的报销结果。,,,,tools.medical-travel.important-the-comp-desk-is
114,tools.medical-travel,citation,How do I send my C-257 to the Workers' Compensation Board?,我该如何将我的 C-257 发送给工伤赔偿委员会（Workers' Compensation Board）？,,,,tools.medical-travel.jsonld.how-do-i-send-my
115,tools.medical-travel,citation,Medical & Travel Reimbursement (C-257) — The Comp Desk,医疗与交通报销（C-257）— The Comp Desk,,,,tools.medical-travel.jsonld.medical-travel-reimbursement-c-257
116,tools.medical-travel,citation,"Medical & Travel tracking is part of Comp Buddy, the injured-worker companion in The Comp Desk. Comp Buddy is $9.99 per month and includes the reimbursement tracker, the C-257 generator, accident and notice evidence, and more.",医疗与交通追踪是 Comp Buddy 的一部分，Comp Buddy 是 The Comp Desk 中为受伤工人打造的伴侣功能。Comp Buddy 每月 $9.99，包含报销追踪器、C-257 生成器、事故及通知证据等功能。,,,,tools.medical-travel.jsonld.medical-travel-tracking-is-part
117,tools.medical-travel,citation,"The C-257, Claimant's Record of Medical and Travel Expenses and Request for Reimbursement, is the official New York Workers' Compensation Board form you use to itemize your medical and travel expenses and request payment. The Comp Desk fills it in from the trips and receipts you log.",C-257，即索赔人医疗与交通费用记录及报销申请表，是纽约州工伤赔偿委员会（Workers' Compensation Board）的官方表格，用于详细列明您的医疗和交通费用并申请付款。The Comp Desk 会根据您记录的行程和收据自动填写该表格。,,,,tools.medical-travel.jsonld.the-c-257-claimant-s
118,tools.medical-travel,filing citation,The Comp Desk generates your completed C-257 and opens your device's email to the Board's filing address with the form and your receipts attached for you to review and send. You also serve a copy on the insurance carrier. The app never sends anything on its own — you always review and tap send.,The Comp Desk 会生成您已完成的 C-257，并打开您设备上的邮件应用，收件地址为委员会的提交邮箱，同时附上表格和收据，供您审阅和发送。您还需要向保险公司送达一份副本。本应用绝不会自行发送任何内容 — 您始终需要审阅并点击发送。,,,,tools.medical-travel.jsonld.the-comp-desk-generates-your
119,tools.medical-travel,citation,"Track subway and bus fares, rideshares, car mileage at the WCB rate, prescriptions, and medical supplies incurred traveling to and from treatment, then generate the C-257 Claimant's Record of Medical and Travel Expenses for the New York Workers' Compensation Board.",记录往返治疗过程中产生的地铁和公交车费、共享出行费用、按 WCB 费率计算的汽车里程、处方药和医疗用品，然后为纽约州工伤赔偿委员会（Workers' Compensation Board）生成 C-257 索赔人医疗与交通费用记录表。,,,,tools.medical-travel.jsonld.track-subway-and-bus-fares
120,tools.medical-travel,citation,"Yes — keep your original receipts for prescriptions, supplies, taxis, and rideshares. The Comp Desk lets you snap a photo or attach a PDF of each receipt so it is filed by date and ready to send with your C-257. Mileage in your own car does not need a receipt; it is calculated from the distance and the WCB rate.",是的 — 请保留处方药、用品、出租车和共享出行的原始收据。The Comp Desk 允许您为每张收据拍照或附加 PDF，以便按日期归档并随时与您的 C-257 一起发送。自驾里程无需收据；系统会根据距离和 WCB 费率自动计算。,,,,tools.medical-travel.jsonld.yes-keep-your-original-receipts
121,tools.medical-travel,citation,"Keep your original receipts for prescriptions, supplies, taxis, and rideshares. In the app you snap a photo or attach a PDF of each one so it's filed by date and sent with your C-257. Mileage in your own car doesn't need a receipt — it's calculated from the distance and the WCB rate.",请保留处方药、用品、出租车和共享出行的原始收据。在应用中，您可以为每一项拍照或附加 PDF，以便按日期归档并随您的 C-257 一起发送。自驾里程无需收据 — 系统会根据距离和 WCB 费率自动计算。,,,,tools.medical-travel.keep-your-original-receipts-for
122,tools.medical-travel,citation,Mileage in your own carReimbursed at the WCB rate in force on the date you drove — 72.5¢/mi in 2026.,自驾里程按您驾车当天有效的 WCB 费率报销 — 2026 年为 72.5¢/英里。,,,,tools.medical-travel.mileage-in-your-own-car
123,tools.medical-travel,citation,"Most injured workers never claim it, because the receipts pile up and the C-257 form feels like one more thing to figure out. The Medical Travel tracker keeps every expense together as you go and turns it into a filed-ready form, so the reimbursement you've earned doesn't slip away.",大多数受伤工人从未申请过，因为收据越堆越多，C-257 表格感觉又是一件要费心搞清楚的事。医疗与交通追踪器会随时把每一笔费用整理在一起，并将其转化为可直接提交的表格，让您应得的报销不会白白流失。,,,,tools.medical-travel.most-injured-workers-never-claim
124,tools.medical-travel,citation,Open your email to the WCB with the C-257 and your receipts attached. You always review and tap send — nothing goes out on its own.,打开发送给 WCB 的邮件，附上 C-257 和您的收据。您始终需要审阅并点击发送 — 不会有任何内容自行发出。,,,,tools.medical-travel.open-your-email-to-the
125,tools.medical-travel,citation,"The C-257, Claimant's Record of Medical and Travel Expenses and Request for Reimbursement, is the official Workers' Compensation Board form you use to itemize your medical and travel expenses and request payment. The Comp Desk fills it in from the trips and receipts you log and produces a ready-to-file copy.",C-257，即索赔人医疗与交通费用记录及报销申请表，是工伤赔偿委员会（Workers' Compensation Board）的官方表格，用于详细列明您的医疗和交通费用并申请付款。The Comp Desk 会根据您记录的行程和收据自动填写，并生成一份可直接提交的副本。,,,,tools.medical-travel.the-c-257-claimant-s
126,tools.medical-travel,filing citation,"The Comp Desk generates your completed C-257 and opens your device's email to the Board's filing address with the form and your receipts attached, for you to review and send. You also serve a copy on the insurance carrier. The app never sends anything on its own — you always review and tap send.",The Comp Desk 会生成您已完成的 C-257，并打开您设备上的邮件应用，收件地址为委员会的提交邮箱，同时附上表格和收据，供您审阅和发送。您还需要向保险公司送达一份副本。本应用绝不会自行发送任何内容 — 您始终需要审阅并点击发送。,,,,tools.medical-travel.the-comp-desk-generates-your
127,tools.medical-travel,citation,"Workers' comp reimburses your fares, mileage, and prescriptions going to and from care — most injured workers never claim it. Log a trip, snap a receipt, and Comp Buddy builds your C-257 to file with the Board.",工伤赔偿会报销您往返治疗的车费、里程和处方药费用 — 但大多数受伤工人从未申请过。记录一次行程、拍下一张收据，Comp Buddy 就会为您生成提交给委员会的 C-257。,,,,tools.medical-travel.workers-comp-reimburses-your-fares
128,tools.mileage,citation,Automatically track your travel to medical appointments and generate C-257 reimbursement forms. Calculate mileage expenses and maintain a travel log for your workers' compensation case.,自动追踪您前往医疗预约的行程，并生成 C-257 报销表格。为您的工伤赔偿案件计算里程费用并维护出行记录。,,,,tools.mileage.automatically-track-your-travel-to
129,tools.mileage,citation,Generate C-257 reimbursement forms automatically when you need them.,在您需要时自动生成 C-257 报销表格。,,,,tools.mileage.generate-c-257-reimbursement-forms
130,tools.utdm,deadline,"Deadlines tracked, alerts sent, compliance watched — so nothing slips by.",截止日期被追踪，提醒被发送，合规情况被监控 — 一切尽在掌握。,,,,tools.utdm.deadlines-tracked-alerts-sent-compliance
131,tools.utdm,deadline,Get alerts before reports are due — well ahead of any deadline.,在报告到期前提前获得提醒 — 远早于任何截止日期。,,,,tools.utdm.get-alerts-before-reports-are
132,tools.utdm,deadline,Free deadline-monitoring tool for upcoming Trial De Novo Motions on New York workers' compensation cases.,面向纽约州工伤赔偿案件中即将到来的重审动议的免费截止日期监控工具。,,,,tools.utdm.jsonld.free-deadline-monitoring-tool-for
133,tools.utdm,deadline,Stay ahead of your treatment deadlines.,提前掌握您的治疗截止日期。,,,,tools.utdm.stay-ahead-of-your-treatment
134,tools.utdm,deadline,Track treatment report deadlines so you always know what's due next.,追踪治疗报告截止日期，让您始终清楚下一项到期事项。,,,,tools.utdm.track-treatment-report-deadlines-so
135,tools.work-search,obligation,AI-powered job matching that respects your medical restrictions. Automatically generate work search logs required by the Workers' Compensation Board and find suitable employment opportunities.,AI 驱动的职位匹配，充分尊重您的医疗限制。自动生成工伤赔偿委员会（Workers' Compensation Board）要求的求职记录，并为您寻找合适的就业机会。,,,,tools.work-search.ai-powered-job-matching-that
136,tools.work-search,citation,Free AI-assisted work search log for New York workers' compensation claimants. Tracks the WCB-required job-search activities needed to maintain ongoing benefits.,面向纽约州工伤赔偿索赔人的免费 AI 辅助求职记录工具。追踪维持持续赔偿金所需的 WCB 要求求职活动。,,,,tools.work-search.jsonld.free-ai-assisted-work-search
